key,noise,psf,mse,std
tr_0_0,100,1.25,0.2722316384315491,0.12870536744594574
tr_2_0,100,1.67,0.3625999689102173,0.1505117565393448
tr_4_0,100,2.5,0.4199904799461365,0.16191166639328003
tr_0_3,20,1.25,0.468983918428421,0.17077702283859253
tr_2_3,20,1.67,0.5143712162971497,0.17718172073364258
tr_4_3,20,2.5,0.5762374997138977,0.1897650510072708
tr_0_4,10,1.25,0.6873361158370972,0.19646115601062775
tr_2_4,10,1.67,0.7033707094192505,0.20662853121757507
tr_4_4,10,2.5,0.8972097039222717,0.23331156373023987
